# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
Aquifer$FluidStatus	net.minecraft.world.level.levelgen.Aquifer$FluidStatus
Aquifer$NoiseBasedAquifer	net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer
AreaEffectCloud	net.minecraft.world.entity.AreaEffectCloud
AreaEffectCloudDurationScaleFix	net.minecraft.util.datafix.fixes.AreaEffectCloudDurationScaleFix
AreaEffectCloudPotionFix	net.minecraft.util.datafix.fixes.AreaEffectCloudPotionFix
ArgumentSignatures	net.minecraft.commands.arguments.ArgumentSignatures
ArgumentSignatures$Entry	net.minecraft.commands.arguments.ArgumentSignatures$Entry
ArgumentSignatures$Signer	net.minecraft.commands.arguments.ArgumentSignatures$Signer
ArgumentTypeInfo	net.minecraft.commands.synchronization.ArgumentTypeInfo
ArgumentTypeInfo$Template	net.minecraft.commands.synchronization.ArgumentTypeInfo$Template
ArgumentTypeInfos	net.minecraft.commands.synchronization.ArgumentTypeInfos
ArgumentUtils	net.minecraft.commands.synchronization.ArgumentUtils
Armadillo	net.minecraft.world.entity.animal.armadillo.Armadillo
Armadillo$1	net.minecraft.world.entity.animal.armadillo.Armadillo$1
Armadillo$ArmadilloState	net.minecraft.world.entity.animal.armadillo.Armadillo$ArmadilloState
Armadillo$ArmadilloState$1	net.minecraft.world.entity.animal.armadillo.Armadillo$ArmadilloState$1
Armadillo$ArmadilloState$2	net.minecraft.world.entity.animal.armadillo.Armadillo$ArmadilloState$2
Armadillo$ArmadilloState$3	net.minecraft.world.entity.animal.armadillo.Armadillo$ArmadilloState$3
Armadillo$ArmadilloState$4	net.minecraft.world.entity.animal.armadillo.Armadillo$ArmadilloState$4
ArmadilloAi	net.minecraft.world.entity.animal.armadillo.ArmadilloAi
ArmadilloAi$1	net.minecraft.world.entity.animal.armadillo.ArmadilloAi$1
ArmadilloAi$ArmadilloBallUp	net.minecraft.world.entity.animal.armadillo.ArmadilloAi$ArmadilloBallUp
ArmadilloAi$ArmadilloPanic	net.minecraft.world.entity.animal.armadillo.ArmadilloAi$ArmadilloPanic
ArmadilloAnimation	net.minecraft.client.animation.definitions.ArmadilloAnimation
ArmadilloModel	net.minecraft.client.model.animal.armadillo.ArmadilloModel
ArmadilloRenderState	net.minecraft.client.renderer.entity.state.ArmadilloRenderState
ArmadilloRenderer	net.minecraft.client.renderer.entity.ArmadilloRenderer
ArmedEntityRenderState	net.minecraft.client.renderer.entity.state.ArmedEntityRenderState
ArmedModel	net.minecraft.client.model.ArmedModel
ArmorDyeRecipe	net.minecraft.world.item.crafting.ArmorDyeRecipe
ArmorMaterial	net.minecraft.world.item.equipment.ArmorMaterial
ArmorMaterials	net.minecraft.world.item.equipment.ArmorMaterials
ArmorModelSet	net.minecraft.client.renderer.entity.ArmorModelSet
ArmorModelSet$1	net.minecraft.client.renderer.entity.ArmorModelSet$1
ArmorSlot	net.minecraft.world.inventory.ArmorSlot
ArmorStand	net.minecraft.world.entity.decoration.ArmorStand
ArmorStand$ArmorStandPose	net.minecraft.world.entity.decoration.ArmorStand$ArmorStandPose
ArmorStandArmorModel	net.minecraft.client.model.object.armorstand.ArmorStandArmorModel
ArmorStandItem	net.minecraft.world.item.ArmorStandItem
ArmorStandModel	net.minecraft.client.model.object.armorstand.ArmorStandModel
ArmorStandRenderState	net.minecraft.client.renderer.entity.state.ArmorStandRenderState
ArmorStandRenderer	net.minecraft.client.renderer.entity.ArmorStandRenderer
ArmorTrim	net.minecraft.world.item.equipment.trim.ArmorTrim
ArmorType	net.minecraft.world.item.equipment.ArmorType
ArrayListDeque	net.minecraft.util.ArrayListDeque
ArrayListDeque$DescendingIterator	net.minecraft.util.ArrayListDeque$DescendingIterator
ArrayListDeque$ReversedView	net.minecraft.util.ArrayListDeque$ReversedView
ArrayVoxelShape	net.minecraft.world.phys.shapes.ArrayVoxelShape
ArrayVoxelShape$1	net.minecraft.world.phys.shapes.ArrayVoxelShape$1
Arrow	net.minecraft.world.entity.projectile.arrow.Arrow
ArrowGizmo	net.minecraft.gizmos.ArrowGizmo
ArrowItem	net.minecraft.world.item.ArrowItem
ArrowLayer	net.minecraft.client.renderer.entity.layers.ArrowLayer
ArrowModel	net.minecraft.client.model.object.projectile.ArrowModel
ArrowRenderState	net.minecraft.client.renderer.entity.state.ArrowRenderState
ArrowRenderer	net.minecraft.client.renderer.entity.ArrowRenderer
AshParticle	net.minecraft.client.particle.AshParticle
AshParticle$Provider	net.minecraft.client.particle.AshParticle$Provider
AssignProfessionFromJobSite	net.minecraft.world.entity.ai.behavior.AssignProfessionFromJobSite
AtlasGlyphProvider	net.minecraft.client.gui.font.AtlasGlyphProvider
